Start Date,Start Time,End Date,End Time,Subject,Location,All day event,Reminder on/off,Show time as,Categories
10/14/21,10:30 AM,10/14/21,11:15 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/14/21,03:00 PM,10/14/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/15/21,08:30 AM,10/15/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/15/21,10:30 AM,10/15/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
10/15/21,03:00 PM,10/15/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/18/21,08:30 AM,10/18/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/18/21,10:30 AM,10/18/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
10/18/21,03:00 PM,10/18/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/19/21,08:30 AM,10/19/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
10/19/21,03:00 PM,10/19/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/20/21,08:30 AM,10/20/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/20/21,10:30 AM,10/20/21,11:30 AM,"Assembly","",0,0,2,"SIS Scheduled;ASSEMBLY"
10/20/21,03:00 PM,10/20/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/21/21,08:30 AM,10/21/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/21/21,10:30 AM,10/21/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
10/21/21,03:00 PM,10/21/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/25/21,08:30 AM,10/25/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/25/21,10:30 AM,10/25/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
10/25/21,03:00 PM,10/25/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/26/21,08:30 AM,10/26/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
10/26/21,03:00 PM,10/26/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/27/21,08:30 AM,10/27/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/27/21,10:30 AM,10/27/21,11:15 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/27/21,03:00 PM,10/27/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/28/21,08:30 AM,10/28/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/28/21,10:30 AM,10/28/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
10/28/21,03:00 PM,10/28/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
10/29/21,08:30 AM,10/29/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
10/29/21,10:30 AM,10/29/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
10/29/21,03:00 PM,10/29/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/01/21,08:30 AM,11/01/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
11/01/21,10:30 AM,11/01/21,11:30 AM,"Assembly","",0,0,2,"SIS Scheduled;ASSEMBLY"
11/01/21,03:00 PM,11/01/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/02/21,08:30 AM,11/02/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
11/02/21,03:00 PM,11/02/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/03/21,08:30 AM,11/03/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
11/03/21,10:30 AM,11/03/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
11/03/21,03:00 PM,11/03/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/04/21,08:30 AM,11/04/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
11/04/21,10:30 AM,11/04/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
11/04/21,03:00 PM,11/04/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
11/05/21,08:30 AM,11/05/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
11/05/21,10:30 AM,11/05/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
